,ISSN,Title,Business Model,USD
1431,0889-9746,Journal of Fluids and Structures,Hybrid,3570
1432,0022-1139,Journal of Fluorine Chemistry,Hybrid,3550
1433,0889-1575,Journal of Food Composition and Analysis,Hybrid,3070
1434,0260-8774,Journal of Food Engineering,Hybrid,4060
1435,0362-028X,Journal of Food Protection,Open access,2000
1436,1752-928X,Journal of Forensic and Legal Medicine,Hybrid,3870
1437,0022-1236,Journal of Functional Analysis,Hybrid,2560
1438,1756-4646,Journal of Functional Foods,Open access,2380
1439,1673-8527,Journal of Genetics and Genomics,Hybrid,3140
1440,0375-6742,Journal of Geochemical Exploration,Hybrid,3730
1441,0264-3707,Journal of Geodynamics,Hybrid,3270
1442,0393-0440,Journal of Geometry and Physics,Hybrid,3180
1443,1879-4068,Journal of Geriatric Oncology,Hybrid,3400
1444,1226-8453,Journal of Ginseng Research,Open access,**
1445,2213-7165,Journal of Global Antimicrobial Resistance,Open access,1890
1446,2667-3193,Journal of Government and Economics,Open access,1650
1447,0380-1330,Journal of Great Lakes Research,Hybrid,2750
1448,2468-7847,Journal of Gynecology Obstetrics and Human Reproduction,Hybrid,3070
1449,2589-5141,Journal of Hand Surgery Global Online,Open access,2500
1450,0894-1130,Journal of Hand Therapy,Hybrid,3120
1451,0304-3894,Journal of Hazardous Materials,Hybrid,4170
1452,2772-4166,Journal of Hazardous Materials Advances,Open access,1400
1453,2666-9110,Journal of Hazardous Materials Letters,Open access,1500
1454,0167-6296,Journal of Health Economics,Hybrid,3980
1455,0168-8278,Journal of Hepatology,Hybrid,4950
1456,2210-8033,Journal of Herbal Medicine,Hybrid,2400
1457,2214-4048,Journal of High Energy Astrophysics,Hybrid,2470
1458,0305-7488,Journal of Historical Geography,Hybrid,2160
1459,0195-6701,Journal of Hospital Infection,Hybrid,3540
1460,1473-8376,"Journal of Hospitality, Leisure, Sport & Tourism Education",Hybrid,3290
1461,1051-1377,Journal of Housing Economics,Hybrid,3230
1462,0047-2484,Journal of Human Evolution,Hybrid,4170
1463,1570-6443,Journal of Hydro-environment Research,Hybrid,3000
1464,0022-1694,Journal of Hydrology,Hybrid,3640
1465,2589-9155,Journal of Hydrology X,Open access,1800
1466,2214-5818,Journal of Hydrology: Regional Studies,Open access,2460
1467,0022-1759,Journal of Immunological Methods,Hybrid,2520
1468,2468-4988,Journal of Immunology and Regenerative Medicine,Hybrid,3500
1469,1226-086X,Journal of Industrial and Engineering Chemistry,Hybrid,2500
1470,2452-414X,Journal of Industrial Information Integration,Hybrid,2780
1471,0163-4453,Journal of Infection,Hybrid,4000
1472,1341-321X,Journal of Infection and Chemotherapy,Hybrid,2650
1473,1876-0341,Journal of Infection and Public Health,Open access,2200
1474,2949-7159,Journal of Information and Intelligence,Open access,1980
1475,2214-2126,Journal of Information Security and Applications,Hybrid,3140
1476,1751-1577,Journal of Informetrics,Hybrid,3680
1477,2772-9915,Journal of Infrastructure Intelligence and Resilience,Open access,1600
1478,2444-569X,Journal of Innovation & Knowledge,Open access,1800
1479,0162-0134,Journal of Inorganic Biochemistry,Hybrid,3630
1480,0022-1910,Journal of Insect Physiology,Hybrid,3120
1481,2095-3119,Journal of Integrative Agriculture,Open access,**
1482,2095-4964,Journal of Integrative Medicine,Hybrid,1800
1483,2667-100X,Journal of Intensive Medicine,Open access,1100
1484,1094-9968,Journal of Interactive Marketing,Hybrid,1800
1485,1061-9518,"Journal of International Accounting, Auditing and Taxation",Hybrid,3110
1486,0022-1996,Journal of International Economics,Hybrid,3610
1487,1042-4431,"Journal of International Financial Markets, Institutions & Money",Hybrid,2730
1488,1075-4253,Journal of International Management,Hybrid,3430
1489,0261-5606,Journal of International Money and Finance,Hybrid,2920
1490,2405-4526,Journal of Interprofessional Education & Practice,Hybrid,2740
1491,0022-2011,Journal of Invertebrate Pathology,Hybrid,3100
1492,0022-202X,Journal of Investigative Dermatology,Hybrid,3400
1493,1087-0024,Journal of Investigative Dermatology Symposium Proceedings,Hybrid,3200
1494,2772-4220,Journal of Ionic Liquids,Open access,1200
1495,2059-7754,Journal of ISAKOS,Open access,1500
1496,2949-7051,Journal of Joint Surgery and Research,Open access,1770
1497,1319-1578,Journal of King Saud University - Computer and Information Sciences,Open access,1350
1498,1018-3639,Journal of King Saud University - Engineering Sciences,,**
1499,1018-3647,Journal of King Saud University - Science,Open access,1450
1500,0022-2275,Journal of Lipid Research,Open access,2800
1501,2666-9676,Journal of Liver Transplantation,Open access,1970
1502,2352-2208,Journal of Logical and Algebraic Methods in Programming,Hybrid,2810
1503,0950-4230,Journal of Loss Prevention in the Process Industries,Hybrid,3590
1504,0022-2313,Journal of Luminescence,Hybrid,2530
1505,0164-0704,Journal of Macroeconomics,Hybrid,2850
1506,1090-7807,Journal of Magnetic Resonance,Hybrid,3550
1507,2666-4410,Journal of Magnetic Resonance Open,Open access,1500
1508,0304-8853,Journal of Magnetism and Magnetic Materials,Hybrid,3000
1509,0161-4754,Journal of Manipulative and Physiological Therapeutics,Hybrid,2900
1510,1526-6125,Journal of Manufacturing Processes,Hybrid,3300
1511,0278-6125,Journal of Manufacturing Systems,Hybrid,3600
1512,0924-7963,Journal of Marine Systems,Hybrid,3090
1513,2667-145X,Journal of Mass Spectrometry & Advances in the Clinical Lab,Open access,900
1514,0924-0136,Journal of Materials Processing Technology,Hybrid,3820
1515,2238-7854,Journal of Materials Research and Technology,Open access,1430
1516,1005-0302,Journal of Materials Science & Technology,Hybrid,3000
1517,2352-8478,Journal of Materiomics,Open access,1750
1518,0022-247X,Journal of Mathematical Analysis and Applications,Hybrid,3070
1519,0304-4068,Journal of Mathematical Economics,Hybrid,2630
1520,0022-2496,Journal of Mathematical Psychology,Hybrid,2740
1521,1939-8654,Journal of Medical Imaging and Radiation Sciences,Hybrid,2900
1522,1156-5233,Journal of Medical Mycology,Hybrid,2890
1523,0376-7388,Journal of Membrane Science,Hybrid,4750
1524,2772-4212,Journal of Membrane Science Letters,Open access,1250
1525,0749-596X,Journal of Memory and Language,Hybrid,3920
1526,0167-7012,Journal of Microbiological Methods,Hybrid,2850
1527,1684-1182,"Journal of Microbiology, Immunology and Infection",Open access,2000
1528,2666-6235,Journal of Migration and Health,Open access,2200
1529,1553-4650,Journal of Minimally Invasive Gynecology,Hybrid,3000
1530,0022-2828,Journal of Molecular and Cellular Cardiology,Hybrid,3550
1531,2772-9761,Journal of Molecular and Cellular Cardiology Plus,Open access,1900
1532,0022-2836,Journal of Molecular Biology,Hybrid,4250
1533,1093-3263,Journal of Molecular Graphics and Modelling,Hybrid,3410
1534,0167-7322,Journal of Molecular Liquids,Hybrid,3380
1535,0022-2852,Journal of Molecular Spectroscopy,Hybrid,3000
1536,0022-2860,Journal of Molecular Structure,Hybrid,3430
1537,0304-3932,Journal of Monetary Economics,Hybrid,3720
1538,2950-0044,Journal of Mood and Anxiety Disorders,Open access,2700
1539,1042-444X,Journal of Multinational Financial Management,Hybrid,2870
1540,0047-259X,Journal of Multivariate Analysis,Hybrid,3060
1541,2773-0786,Journal of Natural Pesticide Research,Open access,1900
1542,1355-1841,Journal of Neonatal Nursing,Hybrid,2700
1543,1084-8045,Journal of Network and Computer Applications,Hybrid,3140
1544,0165-5728,Journal of Neuroimmunology,Hybrid,3510
1545,0911-6044,Journal of Neurolinguistics,Hybrid,2900
1546,0150-9861,Journal of Neuroradiology,Hybrid,3920
1547,2324-2426,Journal of Neurorestoratology,Open access,1700
1548,0165-0270,Journal of Neuroscience Methods,Hybrid,3290
1549,0022-3093,Journal of Non-Crystalline Solids,Hybrid,2970
1550,2590-1591,Journal of Non-Crystalline Solids: X,Open access,2350
1551,0377-0257,Journal of Non-Newtonian Fluid Mechanics,Hybrid,2920
1552,0022-3115,Journal of Nuclear Materials,Hybrid,2510
1553,0022-314X,Journal of Number Theory,Hybrid,3090
1554,2155-8256,Journal of Nursing Regulation,Hybrid,2850
1555,1499-4046,Journal of Nutrition Education and Behavior,Hybrid,2840
1556,2211-3649,Journal of Obsessive-Compulsive and Related Disorders,Hybrid,2990
1557,0884-2175,"Journal of Obstetric, Gynecologic & Neonatal Nursing",Hybrid,3000
1558,1701-2163,Journal of Obstetrics and Gynaecology Canada,Hybrid,3100
1559,2468-0133,Journal of Ocean Engineering and Science,,**
1560,2199-8531,"Journal of Open Innovation: Technology, Market, and Complexity",Open access,1000
1561,1888-4296,Journal of Optometry,Open access,1680
1562,0278-2391,Journal of Oral and Maxillofacial Surgery,Hybrid,3300
1563,2212-5558,"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",Hybrid,2700
1564,2212-4268,Journal of Oral Biology and Craniofacial Research,Open access,1800
1565,1349-0079,Journal of Oral Biosciences,Hybrid,2950
1566,0022-328X,Journal of Organometallic Chemistry,Hybrid,3600
1567,2773-157X,Journal of Orthopaedic Reports,Open access,600
1568,0949-2658,Journal of Orthopaedic Science,Hybrid,3000
1569,2214-031X,Journal of Orthopaedic Translation,Open access,2000
1570,0972-978X,Journal of Orthopaedics,Hybrid,3000
1571,1672-2930,Journal of Otology,,**
1572,2213-0780,Journal of Outdoor Recreation and Tourism,Hybrid,3010
1573,0885-3924,Journal of Pain and Symptom Management,Hybrid,3000
1574,2095-3836,Journal of Palaeogeography,Open access,1500
1575,0743-7315,Journal of Parallel and Distributed Computing,Hybrid,3160
1576,2153-3539,Journal of Pathology Informatics,Open access,1470
1577,1083-3188,Journal of Pediatric and Adolescent Gynecology,Hybrid,2950
1578,0891-5245,Journal of Pediatric Health Care,Hybrid,2550
1579,0882-5963,Journal of Pediatric Nursing,Hybrid,3620
1580,0022-3468,Journal of Pediatric Surgery,Hybrid,3880
1581,2213-5766,Journal of Pediatric Surgery Case Reports,Open access,960
1582,2949-7116,Journal of Pediatric Surgery Open,Open access,2000
1583,1477-5131,Journal of Pediatric Urology,Hybrid,3300
1584,1089-9472,Journal of PeriAnesthesia Nursing,Hybrid,2500
1585,2095-1779,Journal of Pharmaceutical Analysis,Open access,1800
1586,0731-7085,Journal of Pharmaceutical and Biomedical Analysis,Hybrid,3500
1587,2949-771X,Journal of Pharmaceutical and Biomedical Analysis Open,Open access,1500
1588,0022-3549,Journal of Pharmaceutical Sciences,Hybrid,3620
1589,1056-8719,Journal of Pharmacological and Toxicological Methods,Hybrid,3190
1590,1347-8613,Journal of Pharmacological Sciences,Open access,2070
1591,0095-4470,Journal of Phonetics,Hybrid,3470
1592,2666-4690,Journal of Photochemistry and Photobiology,Open access,1620
1593,1010-6030,Journal of Photochemistry and Photobiology A: Chemistry,Hybrid,3290
1594,1011-1344,Journal of Photochemistry and Photobiology B: Biology,Hybrid,3780
1595,1389-5567,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,Hybrid,4820
1596,0022-3697,Journal of Physics and Chemistry of Solids,Hybrid,2870
1597,1836-9553,Journal of Physiotherapy,Open access,3450
1598,0176-1617,Journal of Plant Physiology,Hybrid,3270
1599,1748-6815,"Journal of Plastic, Reconstructive & Aesthetic Surgery",Hybrid,3470
1600,0161-8938,Journal of Policy Modeling,Hybrid,1500
1601,0378-7753,Journal of Power Sources,Hybrid,4110
1602,2666-2485,Journal of Power Sources Advances,Open access,2500
1603,0378-2166,Journal of Pragmatics,Hybrid,2930
1604,0959-1524,Journal of Process Control,Hybrid,3520
1605,8755-7223,Journal of Professional Nursing,Hybrid,3280
1606,0022-3913,Journal of Prosthetic Dentistry,Hybrid,3690
1607,1874-3919,Journal of Proteomics,Hybrid,3450
1608,0022-3956,Journal of Psychiatric Research,Hybrid,3170
1609,0022-3999,Journal of Psychosomatic Research,Hybrid,3340
1610,0047-2727,Journal of Public Economics,Hybrid,3650
1611,2666-5514,Journal of Public Economics Plus,Open access,1500
1612,1077-291X,Journal of Public Transportation,Open access,2150
1613,1478-4092,Journal of Purchasing & Supply Management,Hybrid,3430
1614,0022-4049,Journal of Pure and Applied Algebra,Hybrid,3200
1615,0022-4073,Journal of Quantitative Spectroscopy & Radiative Transfer,Hybrid,2260
1616,1687-8507,Journal of Radiation Research and Applied Sciences,Open access,1200
1617,1546-0843,Journal of Radiology Nursing,Hybrid,2500
1618,2210-9706,Journal of Rail Transport Planning & Management,Hybrid,2580
1619,1002-0721,Journal of Rare Earths,Hybrid,630
1620,1051-2276,Journal of Renal Nutrition,Hybrid,3100
1621,0165-0378,Journal of Reproductive Immunology,Hybrid,3540
1622,0092-6566,Journal of Research in Personality,Hybrid,2620
1623,2666-6596,Journal of Responsible Technology,Open access,1250
1624,0022-4359,Journal of Retailing,Hybrid,1930
1625,0969-6989,Journal of Retailing and Consumer Services,Hybrid,3650
1626,1674-7755,Journal of Rock Mechanics and Geotechnical Engineering,,**
1627,0743-0167,Journal of Rural Studies,Hybrid,3740
1628,2949-9267,Journal of Safety and Sustainability,Open access,2000
1629,0022-4375,Journal of Safety Research,Hybrid,3220
1630,1319-6103,Journal of Saudi Chemical Society,Open access,1250
1631,0022-4405,Journal of School Psychology,Hybrid,2900
1632,1440-2440,Journal of Science and Medicine in Sport,Hybrid,3450
1633,2468-2179,Journal of Science: Advanced Materials and Devices,Open access,1300
1634,1385-1101,Journal of Sea Research,Open access,2250
1635,1060-3743,Journal of Second Language Writing,Hybrid,3970
1636,1058-2746,Journal of Shoulder and Elbow Surgery,Hybrid,3850
1637,0022-4596,Journal of Solid State Chemistry,Hybrid,3200
1638,0022-460X,Journal of Sound and Vibration,Hybrid,4070
1639,0895-9811,Journal of South American Earth Sciences,Hybrid,2790
1640,2468-8967,Journal of Space Safety Engineering,Hybrid,2450
1641,2095-2546,Journal of Sport and Health Science,,**
1642,0378-3758,Journal of Statistical Planning and Inference,Hybrid,2890
1643,2468-7855,"Journal of Stomatology, Oral and Maxillofacial Surgery",Hybrid,3000
1644,0022-474X,Journal of Stored Products Research,Hybrid,3680
1645,1052-3057,Journal of Stroke & Cerebrovascular Diseases,Hybrid,3190
1646,1047-8477,Journal of Structural Biology,Hybrid,4100
1647,2590-1524,Journal of Structural Biology: X,Open access,2660
1648,0191-8141,Journal of Structural Geology,Hybrid,2870
1649,2949-8759,Journal of Substance Use & Addiction Treatment,Hybrid,3340
1650,1931-7204,Journal of Surgical Education,Hybrid,3040
1651,0022-4804,Journal of Surgical Research,Hybrid,3390
1652,0747-7171,Journal of Symbolic Computation,Hybrid,2770
1653,0164-1212,Journal of Systems and Software,Hybrid,3560
1654,1383-7621,Journal of Systems Architecture,Hybrid,2800
1655,1658-3612,Journal of Taibah University Medical Sciences,Open access,625
1656,0022-4898,Journal of Terramechanics,Hybrid,3190
1657,2667-2960,Journal of the Academy of Consultation-Liaison Psychiatry,Hybrid,3000
1658,2212-2672,Journal of the Academy of Nutrition and Dietetics,Hybrid,3740
1659,0890-8567,Journal of the American Academy of Child and Adolescent Psychiatry,Hybrid,3000
1660,0190-9622,Journal of the American Academy of Dermatology,Hybrid,4200
1661,0735-1097,Journal of the American College of Cardiology,Hybrid,6500
1662,1546-1440,Journal of the American College of Radiology,Hybrid,3530
1663,1525-8610,Journal of the American Medical Directors Association,Hybrid,4370
1664,1544-3191,Journal of the American Pharmacists Association,Hybrid,2630
1665,2213-2945,Journal of the American Society of Cytopathology,Hybrid,2850
1666,0894-7317,Journal of The American Society of Echocardiography,Hybrid,3200
1667,1743-9671,Journal of the Energy Institute,Hybrid,3830
1668,0955-2219,Journal of the European Ceramic Society,Hybrid,3900
1669,0929-6646,Journal of the Formosan Medical Association,Open access,**
1670,0016-0032,Journal of The Franklin Institute,Hybrid,2700
1671,0019-4522,Journal of the Indian Chemical Society,Hybrid,1000
1672,0889-1583,Journal of the Japanese and International Economies,Hybrid,3140
1673,1751-6161,Journal of the Mechanical Behavior of Biomedical Materials,Hybrid,3230
1674,0022-5096,Journal of the Mechanics and Physics of Solids,Hybrid,4060
1675,2667-0054,Journal of the National Cancer Center,Open access,1800
1676,0027-9684,Journal of the National Medical Association,Hybrid,3000
1677,0022-510X,Journal of the Neurological Sciences,Hybrid,3530
1678,1658-077X,Journal of the Saudi Society of Agricultural Sciences,,**
1679,2772-9303,Journal of the Society for Cardiovascular Angiography & Interventions,Open access,2400
1680,1876-1070,Journal of the Taiwan Institute of Chemical Engineers,Hybrid,2650
1681,2212-4438,Journal of the World Federation of Orthodontists,Hybrid,3000
1682,0022-5193,Journal of Theoretical Biology,Hybrid,2360
1683,0306-4565,Journal of Thermal Biology,Hybrid,3230
1684,0022-5223,Journal of Thoracic and Cardiovascular Surgery,Hybrid,3890
1685,1556-0864,Journal of Thoracic Oncology,Hybrid,4000
1686,1538-7836,Journal of Thrombosis and Haemostasis,Hybrid,3750
1687,0965-206X,Journal of Tissue Viability,Hybrid,2980
1688,2773-0506,Journal of Trace Elements and Minerals,Open access,1800
1689,0946-672X,Journal of Trace Elements in Medicine and Biology,Hybrid,3590
1690,2225-4110,Journal of Traditional and Complementary Medicine,,**
1691,2095-7548,Journal of Traditional Chinese Medical Sciences,Open access,1400
1692,2589-9090,Journal of Translational Autoimmunity,Open access,2400
1693,2214-1405,Journal of Transport & Health,Hybrid,2820
1694,0966-6923,Journal of Transport Geography,Hybrid,2660
1695,0094-1190,Journal of Urban Economics,Hybrid,4180
1696,2226-5856,Journal of Urban Management,Open access,1200
1697,2667-0917,Journal of Urban Mobility,Open access,1500
1698,1051-0443,Journal of Vascular and Interventional Radiology,Hybrid,3200
1699,1062-0303,Journal of Vascular Nursing,Hybrid,2750
1700,0741-5214,Journal of Vascular Surgery,Hybrid,4010
1701,2468-4287,"Journal of Vascular Surgery Cases, Innovations and Techniques",Open access,1250
1702,2213-333X,Journal of Vascular Surgery: Venous and Lymphatic Disorders,Hybrid,2100
1703,1558-7878,Journal of Veterinary Behavior,Hybrid,3680
1704,1760-2734,Journal of Veterinary Cardiology,Hybrid,3180
1705,0166-0934,Journal of Virological Methods,Hybrid,3120
1706,2055-6640,Journal of Virus Eradication,Open access,2600
1707,1878-7886,Journal of Visceral Surgery,Hybrid,2120
1708,1047-3203,Journal of Visual Communication and Image Representation,Hybrid,2150
1709,0001-8791,Journal of Vocational Behavior,Hybrid,4370
1710,0892-1997,Journal of Voice,Hybrid,3440
1711,0377-0273,Journal of Volcanology and Geothermal Research,Hybrid,3120
1712,2214-7144,Journal of Water Process Engineering,Hybrid,3290
1713,1570-8268,Journal of Web Semantics,Hybrid,1600
1714,0167-6105,Journal of Wind Engineering & Industrial Aerodynamics,Hybrid,3240
1715,1090-9516,Journal of World Business,Hybrid,4130
1716,2352-5878,JPRAS Open,Open access,1920
1717,2772-6967,JSAMS Plus,Open access,1950
1718,2666-6383,JSES International,Open access,1250
1719,2666-6391,"JSES Reviews, Reports and Techniques",Open access,1250
1720,2666-2736,JTCVS Open,Open access,2315
1721,2666-2507,JTCVS Techniques,Open access,2315
1722,2666-3643,JTO Clinical and Research Reports,Open access,2000
1723,2949-9127,JVS-Vascular Insights,Open access,2000
1724,2666-3503,JVS-Vascular Science,Open access,2800
1725,0085-2538,Kidney International,Hybrid,3200
1726,2468-0249,Kidney International Reports,Open access,2625
1727,2157-1716,Kidney International Supplements,Hybrid,3200
1728,2590-0595,Kidney Medicine,Open access,2400
1729,1779-0123,"Kinésithérapie, La Revue",Hybrid,1720
1730,0950-7051,Knowledge-Based Systems,Hybrid,3130
1731,2307-4108,Kuwait Journal of Science,Open access,1100
1732,0013-7006,L'Encéphale,Hybrid,2240
1733,0014-3855,L'Évolution Psychiatrique,Hybrid,2440
1734,0755-4982,La Presse Médicale,Hybrid,2120
1735,2666-4798,La Presse Médicale Formation,Hybrid,1530
1736,2590-2504,La Presse Médicale Open,Open access,1640
1737,0248-8663,La Revue de Médecine Interne,Hybrid,2300
1738,1878-6529,La Revue de Médecine Légale,Hybrid,2440
1739,0023-6837,Laboratory Investigation,Hybrid,4480
1740,0927-5371,Labour Economics,Hybrid,2670
1741,0264-8377,Land Use Policy,Hybrid,3680
1742,0169-2046,Landscape and Urban Planning,Hybrid,3000
1743,0271-5309,Language & Communication,Hybrid,3200
1744,2949-9038,Language and Health,Open access,1600
1745,0388-0001,Language Sciences,Hybrid,2870
1746,2666-1438,Latin American Journal of Central Banking,Open access,1450
1747,2950-0249,Latin American Transport Studies,Hybrid,1500
1748,2772-9532,Le Pharmacien Clinicien,Hybrid,2070
1749,1279-7960,Le Praticien en Anesthésie Réanimation,Hybrid,2300
1750,1041-6080,Learning and Individual Differences,Hybrid,3430
1751,0959-4752,Learning and Instruction,Hybrid,4280
1752,0023-9690,Learning and Motivation,Hybrid,2890
1753,2210-6561,"Learning, Culture and Social Interaction",Hybrid,2970
1754,1344-6223,Legal Medicine,Hybrid,3540
1755,0145-2126,Leukemia Research,Hybrid,4050
1756,2213-0489,Leukemia Research Reports,Open access,1060
1757,0740-8188,Library & Information Science Research,Hybrid,3390
1758,0024-3205,Life Sciences,Hybrid,3300
1759,2214-5524,Life Sciences in Space Research,Hybrid,2200
1760,0075-9511,Limnologica,Hybrid,3510
1761,0024-3795,Linear Algebra and its Applications,Hybrid,2760
1762,0024-3841,Lingua,Hybrid,2170
1763,0898-5898,Linguistics and Education,Hybrid,2480
1764,0024-4937,Lithos,Hybrid,3350
1765,1871-1413,Livestock Science,Hybrid,2520
1766,0024-6301,Long Range Planning,Hybrid,3790
1767,0169-5002,Lung Cancer,Hybrid,3110
1768,0023-6438,LWT,Open access,2410
1769,2666-8270,Machine Learning with Applications,Open access,2200
1770,0730-725X,Magnetic Resonance Imaging,Hybrid,3430
1771,1044-5005,Management Accounting Research,Hybrid,3560
1772,2213-8463,Manufacturing Letters,Hybrid,1690
1773,0264-8172,Marine and Petroleum Geology,Hybrid,3490
1774,0304-4203,Marine Chemistry,Hybrid,3180
1775,0141-1136,Marine Environmental Research,Hybrid,3240
1776,1874-7787,Marine Genomics,Hybrid,2980
1777,0025-3227,Marine Geology,Hybrid,3660
1778,0377-8398,Marine Micropaleontology,Hybrid,2140
1779,0308-597X,Marine Policy,Hybrid,3860
1780,0025-326X,Marine Pollution Bulletin,Hybrid,3630
1781,0951-8339,Marine Structures,Hybrid,4130
1782,2666-822X,Maritime Transport Research,Open access,1800
1783,2589-1529,Materialia,Hybrid,1800
1784,0264-1275,Materials & Design,Open access,3000
1785,1044-5803,Materials Characterization,Hybrid,3340
1786,0254-0584,Materials Chemistry and Physics,Hybrid,2870
1787,0167-577X,Materials Letters,Hybrid,2440
1788,2590-1508,Materials Letters: X,Open access,1690
1789,0025-5408,Materials Research Bulletin,Hybrid,3370
1790,0921-5093,Materials Science and Engineering: A,Hybrid,3500
1791,0921-5107,Materials Science and Engineering: B,Hybrid,2560
1792,0927-796X,Materials Science and Engineering: R: Reports,Hybrid,5570
1793,1369-8001,Materials Science in Semiconductor Processing,Hybrid,3030
1794,1369-7021,Materials Today,Hybrid,5300
1795,2590-0498,Materials Today Advances,Open access,3210
1796,2590-0064,Materials Today Bio,Open access,3150
1797,2949-754X,Materials Today Catalysis,Open access,3000
1798,2468-5194,Materials Today Chemistry,Hybrid,3090
1799,2352-4928,Materials Today Communications,Hybrid,2340
1800,2772-9494,Materials Today Electronics,Open access,3000
1801,2468-6069,Materials Today Energy,Hybrid,3310
1802,2588-8420,Materials Today Nano,Hybrid,3550
1803,2542-5293,Materials Today Physics,Hybrid,4250
1804,2589-2347,Materials Today Sustainability,Hybrid,3000
1805,2214-7853,Materials Today: Proceedings,Hybrid,200
1806,0025-5564,Mathematical Biosciences,Hybrid,2840
1807,0165-4896,Mathematical Social Sciences,Hybrid,2720
1808,0378-4754,Mathematics and Computers in Simulation,Hybrid,1740
1809,0945-053X,Matrix Biology,Hybrid,4620
1810,2590-0285,Matrix Biology Plus,Open access,1870
1811,2590-2385,Matter,Hybrid,9080
1812,0378-5122,Maturitas,Hybrid,4260
1813,0025-6196,Mayo Clinic Proceedings,Hybrid,3300
1814,2949-7612,Mayo Clinic Proceedings: Digital Health,Open access,2500
1815,2542-4548,"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",Open access,3000
1816,0263-2241,Measurement,Hybrid,3500
1817,2949-8775,Measurement and Evaluations in Cancer Care,Open access,1700
1818,2772-2759,Measurement: Food,Open access,2000
1819,2665-9174,Measurement: Sensors,Open access,1800
1820,0309-1740,Meat Science,Hybrid,4130
1821,0888-3270,Mechanical Systems and Signal Processing,Hybrid,4830
1822,0167-6636,Mechanics of Materials,Hybrid,3290
1823,0093-6413,Mechanics Research Communications,Hybrid,3350
1824,0094-114X,Mechanism and Machine Theory,Hybrid,3740
1825,0047-6374,Mechanisms of Ageing and Development,Hybrid,3940
1826,2949-9070,Mechanobiology in Medicine,Open access,2600
1827,0957-4158,Mechatronics,Hybrid,2610
1828,2666-6340,Med,Hybrid,8900
1829,0958-3947,Medical Dosimetry,Hybrid,2500
1830,1350-4533,Medical Engineering & Physics,Hybrid,3170
1831,0306-9877,Medical Hypotheses,Hybrid,2710
1832,1361-8415,Medical Image Analysis,Hybrid,3970
1833,2211-7539,Medical Mycology Case Reports,Open access,650
1834,2949-9186,Medical Reports,Open access,1850
1835,0025-7753,Medicina Clínica,Hybrid,2590
1836,2387-0206,Medicina Clínica (English Edition),Hybrid,**
1837,2603-9249,Medicina Clínica Práctica,Open access,1490
1838,0210-5691,Medicina Intensiva,Hybrid,2470
1839,2173-5727,Medicina Intensiva (English Edition),Hybrid,2470
1840,2590-0986,Medicine in Drug Discovery,Open access,1860
1841,2590-0978,Medicine in Microecology,Open access,2200
1842,2590-0935,Medicine in Novel Technology and Devices,Open access,2200
1843,2590-1249,Medicine in Omics,Open access,2000
1844,2773-0646,"Memories - Materials, Devices, Circuits and Systems",Open access,1500
1845,2212-6570,Mental Health & Prevention,Hybrid,2910
1846,1755-2966,Mental Health and Physical Activity,Hybrid,2990
1847,1096-7176,Metabolic Engineering,Hybrid,4870
1848,2214-0301,Metabolic Engineering Communications,Open access,3240
1849,0026-0495,Metabolism,Hybrid,4980
1850,2589-9368,Metabolism Open,Open access,2000
1851,1046-2023,Methods,Hybrid,3390
1852,2590-2601,Methods in Psychology,Open access,1420
1853,2215-0161,MethodsX,Open access,800
1854,2590-0072,Micro and Nano Engineering,Open access,1670
1855,2773-0123,Micro and Nanostructures,Hybrid,2630
1856,1286-4579,Microbes and Infection,Hybrid,2440
1857,0882-4010,Microbial Pathogenesis,Hybrid,2960
1858,2352-3522,Microbial Risk Analysis,Hybrid,3140
1859,0944-5013,Microbiological Research,Hybrid,4020
1860,0026-265X,Microchemical Journal,Hybrid,3570
1861,0167-9317,Microelectronic Engineering,Hybrid,2750
1862,0026-2692,Microelectronics Journal,Hybrid,2370
1863,0026-2714,Microelectronics Reliability,Hybrid,2190
1864,0968-4328,Micron,Hybrid,3180
1865,1387-1811,Microporous and Mesoporous Materials,Hybrid,3590
1866,0141-9331,Microprocessors and Microsystems,Hybrid,2200
1867,0026-2862,Microvascular Research,Hybrid,3030
1868,0266-6138,Midwifery,Hybrid,3300
1869,0892-6875,Minerals Engineering,Hybrid,4080
1870,1567-7249,Mitochondrion,Hybrid,3010
1871,0893-3952,Modern Pathology,Hybrid,4480
1872,1535-9476,Molecular & Cellular Proteomics,Open access,2800
1873,0166-6851,Molecular and Biochemical Parasitology,Hybrid,3140
1874,0303-7207,Molecular and Cellular Endocrinology,Hybrid,3000
1875,1044-7431,Molecular and Cellular Neuroscience,Hybrid,3570
1876,0890-8508,Molecular and Cellular Probes,Open access,2200
1877,0098-2997,Molecular Aspects of Medicine,Hybrid,5100
1878,2468-8231,Molecular Catalysis,Hybrid,3020
1879,1097-2765,Molecular Cell,Hybrid,9080
1880,1096-7192,Molecular Genetics and Metabolism,Hybrid,3570
1881,2214-4269,Molecular Genetics and Metabolism Reports,Open access,2410
1882,0161-5890,Molecular Immunology,Hybrid,2970
1883,2212-8778,Molecular Metabolism,Open access,3630
